,DBN,year,Q1_funding_sources,Q2_label,Q3_label,Unnamed,school_name,grade,category,number_tested,mean_scale_score,level_1,level_1_1,level_2,level_2_1,level_3,level_3_1,level_4,level_4_1,level_3_4,level_3_4_1
0,01M015,2017,5,insufficient,same,01M015All Grades2017All Students,P.S. 015 ROBERTO CLEMENTE,All Grades,All Students,67,308.32836910000003,12.0,17.91044807,31.0,46.26865768,21.0,31.3432827,3.0,4.4776120189999995,24.0,35.82089615
1,01M019,2017,0,insufficient,same,01M019All Grades2017All Students,P.S. 019 ASHER LEVY,All Grades,All Students,87,316.4137878,8.0,9.195402145,34.0,39.08045959,31.0,35.63218307,14.0,16.09195328,45.0,51.72413635
2,01M020,2017,2,insufficient,decreased,01M020All Grades2017All Students,P.S. 020 ANNA SILVER,All Grades,All Students,208,296.7836609,74.0,35.57692337,74.0,35.57692337,39.0,18.75,21.0,10.09615421,60.0,28.84615326
3,01M034,2017,0,insufficient,decreased,01M034All Grades2017All Students,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,All Students,218,299.7798157,48.0,22.01834869,111.0,50.91743088,48.0,22.01834869,11.0,5.045871735,59.0,27.06422043
4,01M063,2017,3,insufficient,increased,01M063All Grades2017All Students,THE STAR ACADEMY - P.S.63,All Grades,All Students,63,324.3968201,5.0,7.936507702,19.0,30.15872955,27.0,42.8571434,12.0,19.04761887,39.0,61.90476227
5,01M064,2017,0,sufficient,same,01M064All Grades2017All Students,P.S. 064 ROBERT SIMON,All Grades,All Students,99,302.4646606,23.0,23.23232269,47.0,47.4747467,24.0,24.24242401,5.0,5.050505161,29.0,29.2929287
6,01M110,2017,2,insufficient,same,01M110All Grades2017All Students,P.S. 110 FLORENCE NIGHTINGALE,All Grades,All Students,178,330.882019,14.0,7.865168571,40.0,22.47191048,64.0,35.95505524,60.0,33.70786667,124.0,69.66291809
7,01M134,2017,0,insufficient,same,01M134All Grades2017All Students,P.S. 134 HENRIETTA SZOLD,All Grades,All Students,162,287.3024597,73.0,45.06172943,58.0,35.80246735,27.0,16.66666603,4.0,2.469135761,31.0,19.13580322
8,01M140,2017,1,insufficient,decreased,01M140All Grades2017All Students,P.S. 140 NATHAN STRAUS,All Grades,All Students,241,296.0581055,73.0,30.29045677,110.0,45.64315414,47.0,19.502075199999997,11.0,4.564315318999999,58.0,24.06639099
9,01M142,2017,4,insufficient,increased,01M142All Grades2017All Students,P.S. 142 AMALIA CASTRO,All Grades,All Students,128,302.734375,32.0,25.0,56.0,43.75,32.0,25.0,8.0,6.25,40.0,31.25
10,01M184,2017,1,sufficient,increased,01M184All Grades2017All Students,P.S. 184M SHUANG WEN,All Grades,All Students,406,324.1625671,30.0,7.38916254,113.0,27.8325119,158.0,38.91625595,105.0,25.86206818,263.0,64.77832794
11,01M188,2017,3,insufficient,decreased,01M188All Grades2017All Students,P.S. 188 THE ISLAND SCHOOL,All Grades,All Students,273,287.6813049,117.0,42.8571434,115.0,42.12454224,38.0,13.91941357,3.0,1.098901153,41.0,15.01831532
12,01M315,2017,3,insufficient,same,01M315All Grades2017All Students,THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,All Students,105,319.8381042,11.0,10.47619057,36.0,34.285713200000004,37.0,35.23809433,21.0,20.0,58.0,55.23809433
13,01M361,2017,2,insufficient,decreased,01M361All Grades2017All Students,THE CHILDREN'S WORKSHOP SCHOOL,All Grades,All Students,85,321.39999389999997,14.0,16.47058868,19.0,22.35294151,39.0,45.88235474,13.0,15.29411793,52.0,61.17647171
14,01M363,2017,2,insufficient,decreased,01M363All Grades2017All Students,NEIGHBORHOOD SCHOOL,All Grades,All Students,28,305.3928528,8.0,28.5714283,8.0,28.5714283,11.0,39.2857132,1.0,3.571428537,12.0,42.8571434
15,01M364,2017,3,insufficient,same,01M364All Grades2017All Students,EARTH SCHOOL,All Grades,All Students,39,314.615387,7.0,17.94871712,12.0,30.76922989,14.0,35.89743423,6.0,15.38461494,20.0,51.28205109
16,02M131,2017,2,insufficient,same,02M131All Grades2017All Students,M.S. 131,All Grades,All Students,386,303.3108826,101.0,26.16580391,149.0,38.60103607,84.0,21.76165771,52.0,13.471502300000001,136.0,35.23316193
17,01M378,2017,2,insufficient,same,01M378All Grades2017All Students,SCHOOL FOR GLOBAL LEADERS,All Grades,All Students,230,294.486969,74.0,32.17391205,100.0,43.47826004,47.0,20.43478203,9.0,3.9130434989999996,56.0,24.347826
19,01M539,2017,2,sufficient,same,01M539All Grades2017All Students,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",All Grades,All Students,710,353.8971863,2.0,0.2816901505,18.0,2.535211325,192.0,27.04225349,498.0,70.14084625,690.0,97.18309784
20,01M839,2017,3,insufficient,decreased,01M839All Grades2017All Students,TOMPKINS SQUARE MIDDLE SCHOOL,All Grades,All Students,253,317.66006469999996,36.0,14.229249,74.0,29.24901199,80.0,31.62055397,63.0,24.90118599,143.0,56.52173996
21,02M001,2017,7,sufficient,increased,02M001All Grades2017All Students,P.S. 001 ALFRED E. SMITH,All Grades,All Students,153,311.32025150000004,41.0,26.79738617,32.0,20.91503334,50.0,32.67973709,30.0,19.607843399999997,80.0,52.2875824
22,02M002,2017,0,insufficient,same,02M002All Grades2017All Students,P.S. 002 MEYER LONDON,All Grades,All Students,310,317.8742065,49.0,15.806451800000001,86.0,27.74193573,113.0,36.45161438,62.0,20.0,175.0,56.45161438
23,02M003,2017,3,abundant,increased,02M003All Grades2017All Students,P.S. 003 CHARRETTE SCHOOL,All Grades,All Students,335,328.346283,25.0,7.462686539,77.0,22.985075,147.0,43.88059616,86.0,25.671642300000002,233.0,69.55223846
24,02M006,2017,2,insufficient,same,02M006All Grades2017All Students,P.S. 006 LILLIE D. BLAKE,All Grades,All Students,330,341.4848633,8.0,2.4242424959999997,49.0,14.84848499,125.0,37.87878799,148.0,44.84848404,273.0,82.72727203
25,02M011,2017,2,sufficient,increased,02M011All Grades2017All Students,P.S. 011 WILLIAM T. HARRIS,All Grades,All Students,460,327.88259889999995,54.0,11.73913002,87.0,18.91304398,178.0,38.69565201,141.0,30.652174,319.0,69.3478241
26,02M033,2017,5,sufficient,increased,02M033All Grades2017All Students,P.S. 033 CHELSEA PREP,All Grades,All Students,284,335.08099369999996,41.0,14.43661976,48.0,16.90140915,60.0,21.12676048,135.0,47.53520966,195.0,68.66197205
27,02M040,2017,3,sufficient,same,02M040All Grades2017All Students,P.S. 040 AUGUSTUS SAINT-GAUDENS,All Grades,All Students,279,344.8243713,9.0,3.225806475,29.0,10.39426517,113.0,40.50179291,128.0,45.87813568,241.0,86.37992859
28,02M041,2017,2,insufficient,same,02M041All Grades2017All Students,P.S. 041 GREENWICH VILLAGE,All Grades,All Students,340,339.644104,10.0,2.9411764139999996,58.0,17.05882263,139.0,40.88235474,133.0,39.11764526,272.0,80.0
29,02M042,2017,4,insufficient,decreased,02M042All Grades2017All Students,P.S. 042 BENJAMIN ALTMAN,All Grades,All Students,320,320.7374878,47.0,14.6875,84.0,26.25,106.0,33.125,83.0,25.9375,189.0,59.0625
30,02M051,2017,7,abundant,increased,02M051All Grades2017All Students,P.S. 051 ELIAS HOWE,All Grades,All Students,144,317.8611145,22.0,15.27777767,51.0,35.41666794,44.0,30.55555534,27.0,18.75,71.0,49.30555725
31,02M059,2017,3,insufficient,same,02M059All Grades2017All Students,P.S. 059 BEEKMAN HILL INTERNATIONAL,All Grades,All Students,245,336.50204469999994,13.0,5.306122303,41.0,16.73469353,79.0,32.24489975,112.0,45.7142868,191.0,77.95918274
32,02M077,2017,1,insufficient,same,02M077All Grades2017All Students,P.S. 77 LOWER LAB SCHOOL,All Grades,All Students,181,359.7679443,0.0,0.0,1.0,0.5524861813,51.0,28.17679596,129.0,71.27072144,180.0,99.44751740000001
33,02M089,2017,1,insufficient,same,02M089All Grades2017All Students,P.S. 89,All Grades,All Students,176,337.2556763,0.0,0.0,36.0,20.45454597,84.0,47.72727203,56.0,31.81818199,140.0,79.54545593
34,02M104,2017,1,sufficient,same,02M104All Grades2017All Students,J.H.S. 104 SIMON BARUCH,All Grades,All Students,1046,326.3088074,86.0,8.221796989,251.0,23.99617577,356.0,34.0344162,353.0,33.74760818,709.0,67.7820282
35,02M111,2017,3,insufficient,decreased,02M111All Grades2017All Students,P.S. 111 ADOLPH S. OCHS,All Grades,All Students,131,307.7557373,38.0,29.00763321,42.0,32.06106949,32.0,24.4274807,19.0,14.5038166,51.0,38.9312973
36,02M114,2017,1,insufficient,same,02M114All Grades2017All Students,EAST SIDE MIDDLE SCHOOL,All Grades,All Students,437,348.5148621,1.0,0.2288329452,37.0,8.46681881,98.0,22.42562866,301.0,68.87871552,399.0,91.30434418
37,02M116,2017,2,insufficient,same,02M116All Grades2017All Students,P.S. 116 MARY LINDLEY MURRAY,All Grades,All Students,264,323.27273560000003,29.0,10.98484802,81.0,30.68181801,87.0,32.95454407,67.0,25.37878799,154.0,58.33333206
38,02M124,2017,3,sufficient,same,02M124All Grades2017All Students,P.S. 124 YUNG WING,All Grades,All Students,353,330.46459960000004,19.0,5.382436275,87.0,24.645893100000002,150.0,42.49291611,97.0,27.47875404,247.0,69.97167206
39,02M126,2017,2,insufficient,increased,02M126All Grades2017All Students,P.S. 126 JACOB AUGUST RIIS,All Grades,All Students,519,320.3371887,74.0,14.258189199999999,135.0,26.01156044,175.0,33.71868896,135.0,26.01156044,310.0,59.73025131
40,02M130,2017,4,insufficient,same,02M130All Grades2017All Students,P.S. 130 HERNANDO DE SOTO,All Grades,All Students,506,334.63043210000006,32.0,6.3241105079999995,95.0,18.77470398,205.0,40.51383209,174.0,34.38735199,379.0,74.90118408
41,02M150,2017,1,abundant,same,02M150All Grades2017All Students,P.S. 150,All Grades,All Students,76,347.75,2.0,2.631578922,7.0,9.210526466000001,25.0,32.89473724,42.0,55.26315689,67.0,88.15789795
42,02M151,2017,2,abundant,decreased,02M151All Grades2017All Students,YORKVILLE COMMUNITY SCHOOL,All Grades,All Students,276,323.44201660000004,42.0,15.21739101,70.0,25.36231804,86.0,31.15942001,78.0,28.26086998,164.0,59.42028809
43,02M158,2017,3,insufficient,same,02M158All Grades2017All Students,P.S. 158 BAYARD TAYLOR,All Grades,All Students,299,343.6521606,5.0,1.6722408530000001,38.0,12.70903015,111.0,37.12374496,145.0,48.49498367,256.0,85.61872864
44,02M167,2017,3,sufficient,same,02M167All Grades2017All Students,J.H.S. 167 ROBERT F. WAGNER,All Grades,All Students,1263,328.35153199999996,78.0,6.17577219,270.0,21.3776722,471.0,37.29216003,444.0,35.15439606,915.0,72.44655609
45,02M177,2017,2,insufficient,same,02M177All Grades2017All Students,YORKVILLE EAST MIDDLE SCHOOL,All Grades,All Students,196,327.1479492,8.0,4.081632614,62.0,31.63265228,68.0,34.69387817,58.0,29.59183693,126.0,64.2857132
46,02M183,2017,2,insufficient,same,02M183All Grades2017All Students,P.S. 183 ROBERT L. STEVENSON,All Grades,All Students,224,340.9330444,11.0,4.9107141489999995,29.0,12.9464283,90.0,40.17856979,94.0,41.9642868,184.0,82.14286041
47,02M198,2017,2,insufficient,increased,02M198All Grades2017All Students,P.S. 198 ISADOR E. IDA STRAUS,All Grades,All Students,183,326.60110469999995,13.0,7.103825092,59.0,32.24043655,62.0,33.87977982,49.0,26.77595711,111.0,60.65573883
48,02M255,2017,2,sufficient,increased,02M255All Grades2017All Students,M.S. 255 SALK SCHOOL OF SCIENCE,All Grades,All Students,386,353.9429932,4.0,1.036269426,21.0,5.440414429,66.0,17.09844589,295.0,76.42487335,361.0,93.52331543
49,02M212,2017,1,sufficient,same,02M212All Grades2017All Students,P.S. 212 MIDTOWN WEST,All Grades,All Students,159,329.00628660000007,7.0,4.402515888,45.0,28.30188751,70.0,44.02515793,37.0,23.27044106,107.0,67.29560089
50,02M217,2017,3,insufficient,same,02M217All Grades2017All Students,P.S./I.S. 217 ROOSEVELT ISLAND,All Grades,All Students,274,327.9598389,25.0,9.124087334,71.0,25.91240883,96.0,35.03649521,82.0,29.92700768,178.0,64.96350098
51,02M225,2017,2,sufficient,increased,02M225All Grades2017All Students,ELLA BAKER SCHOOL,All Grades,All Students,71,320.1831055,4.0,5.633802891,29.0,40.84506989,26.0,36.61971664,12.0,16.90140915,38.0,53.52112579
52,02M234,2017,2,insufficient,same,02M234All Grades2017All Students,P.S. 234 INDEPENDENCE SCHOOL,All Grades,All Students,308,332.4610291,9.0,2.9220778939999996,63.0,20.45454597,146.0,47.40259552,90.0,29.22077942,236.0,76.62337494
53,02M260,2017,1,insufficient,increased,02M260All Grades2017All Students,THE CLINTON SCHOOL,All Grades,All Students,273,338.2747192,4.0,1.4652014969999998,34.0,12.45421219,95.0,34.79853439,140.0,51.28205109,235.0,86.08058929
54,02M267,2017,1,insufficient,same,02M267All Grades2017All Students,"EAST SIDE ELEMENTARY SCHOOL, PS 267",All Grades,All Students,164,337.61584469999997,8.0,4.878048897,24.0,14.63414669,66.0,40.24390411,66.0,40.24390411,132.0,80.48780823
55,02M276,2017,1,sufficient,same,02M276All Grades2017All Students,BATTERY PARK CITY SCHOOL,All Grades,All Students,543,333.425415,32.0,5.8931860920000005,102.0,18.78453064,201.0,37.01657486,208.0,38.30570984,409.0,75.32228088
56,02M281,2017,1,insufficient,same,02M281All Grades2017All Students,THE RIVER SCHOOL,All Grades,All Students,22,324.8636475,2.0,9.090909004,5.0,22.72727203,12.0,54.54545593,3.0,13.63636398,15.0,68.18181609999999
57,02M289,2017,2,insufficient,same,02M289All Grades2017All Students,I.S. 289,All Grades,All Students,267,327.3632813,8.0,2.996254683,72.0,26.96629143,111.0,41.57303238,76.0,28.46442032,187.0,70.0374527
58,02M290,2017,2,insufficient,same,02M290All Grades2017All Students,P.S. 290 MANHATTAN NEW SCHOOL,All Grades,All Students,253,345.9051514,5.0,1.9762846230000002,29.0,11.46245098,103.0,40.71146393,116.0,45.84980392,219.0,86.56126404
