,DBN,year,Q1_funding_sources,Q2_label,Q3_label,Unnamed,school_name,grade,category,number_tested,mean_scale_score,level_1,level_1_1,level_2,level_2_1,level_3,level_3_1,level_4,level_4_1,level_3_4,level_3_4_1
0,01M015,2017,5,insufficient,same,01M015All Grades2017All Students,P.S. 015 ROBERTO CLEMENTE,All Grades,All Students,69,306.5362244,16.0,23.18840599,22.0,31.884058000000003,23.0,33.33333206,8.0,11.594203,31.0,44.92753601
1,01M019,2017,0,insufficient,same,01M019All Grades2017All Students,P.S. 019 ASHER LEVY,All Grades,All Students,84,315.4285583,16.0,19.04761887,25.0,29.76190567,20.0,23.80952454,23.0,27.38095284,43.0,51.19047546
2,01M020,2017,2,insufficient,decreased,01M020All Grades2017All Students,P.S. 020 ANNA SILVER,All Grades,All Students,208,291.9567261,89.0,42.78845978,53.0,25.48077011,37.0,17.78846169,29.0,13.94230747,66.0,31.73077011
3,01M034,2017,0,insufficient,decreased,01M034All Grades2017All Students,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,All Students,212,290.64624019999997,88.0,41.50943375,86.0,40.56603622,28.0,13.20754719,10.0,4.7169809339999995,38.0,17.92452812
4,01M063,2017,3,insufficient,increased,01M063All Grades2017All Students,THE STAR ACADEMY - P.S.63,All Grades,All Students,65,308.5230713,14.0,21.53846169,23.0,35.38461685,19.0,29.23077011,9.0,13.84615421,28.0,43.07692337
5,01M064,2017,0,sufficient,same,01M064All Grades2017All Students,P.S. 064 ROBERT SIMON,All Grades,All Students,101,297.29702760000004,38.0,37.62376404,30.0,29.702970500000003,26.0,25.74257469,7.0,6.93069315,33.0,32.67326736
6,01M110,2017,2,insufficient,same,01M110All Grades2017All Students,P.S. 110 FLORENCE NIGHTINGALE,All Grades,All Students,176,336.8238525,17.0,9.659090996,21.0,11.93181801,44.0,25.0,94.0,53.40909195,138.0,78.40908813
7,01M134,2017,0,insufficient,same,01M134All Grades2017All Students,P.S. 134 HENRIETTA SZOLD,All Grades,All Students,161,285.1676941,77.0,47.82608795,44.0,27.32919312,28.0,17.39130402,12.0,7.453416347999999,40.0,24.84472084
8,01M140,2017,1,insufficient,decreased,01M140All Grades2017All Students,P.S. 140 NATHAN STRAUS,All Grades,All Students,235,281.3872375,130.0,55.31914902,76.0,32.340427399999996,22.0,9.361701965,7.0,2.9787232880000003,29.0,12.34042549
9,01M142,2017,4,insufficient,increased,01M142All Grades2017All Students,P.S. 142 AMALIA CASTRO,All Grades,All Students,127,293.6771545,48.0,37.79527664,44.0,34.64566803,30.0,23.62204742,5.0,3.9370079039999997,35.0,27.55905533
10,01M184,2017,1,sufficient,increased,01M184All Grades2017All Students,P.S. 184M SHUANG WEN,All Grades,All Students,409,339.6503601,34.0,8.312958717,54.0,13.20293427,105.0,25.67237091,216.0,52.81173706,321.0,78.48410797
11,01M188,2017,3,insufficient,decreased,01M188All Grades2017All Students,P.S. 188 THE ISLAND SCHOOL,All Grades,All Students,278,290.3705139,109.0,39.20863342,111.0,39.92805862,40.0,14.38848877,18.0,6.474820137000001,58.0,20.86330986
12,01M315,2017,3,insufficient,same,01M315All Grades2017All Students,THE EAST VILLAGE COMMUNITY SCHOOL,All Grades,All Students,106,320.5,10.0,9.433961867999999,33.0,31.13207626,33.0,31.13207626,30.0,28.30188751,63.0,59.43396378
13,01M361,2017,2,insufficient,decreased,01M361All Grades2017All Students,THE CHILDREN'S WORKSHOP SCHOOL,All Grades,All Students,83,309.4698792,17.0,20.48192787,23.0,27.71084404,30.0,36.14457703,13.0,15.66265106,43.0,51.80722809
14,01M363,2017,2,insufficient,decreased,01M363All Grades2017All Students,NEIGHBORHOOD SCHOOL,All Grades,All Students,29,298.65518189999995,9.0,31.03448296,10.0,34.48275757,7.0,24.13793182,3.0,10.34482765,10.0,34.48275757
15,01M364,2017,3,insufficient,same,01M364All Grades2017All Students,EARTH SCHOOL,All Grades,All Students,38,298.02630619999996,12.0,31.57894707,13.0,34.21052551,10.0,26.31579018,3.0,7.894736767,13.0,34.21052551
16,02M131,2017,2,insufficient,same,02M131All Grades2017All Students,M.S. 131,All Grades,All Students,415,320.09396360000005,75.0,18.07228851,109.0,26.26506042,112.0,26.98795128,119.0,28.67469788,231.0,55.66265106
