DBN,School Name,Grade,Year,Subject,# Level 3+4,% Level 3+4,Full Time,Full Time Plus,Part Time,None
01M015,P.S. 015 ROBERTO CLEMENTE,3,2017,ELA,9,33.3,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2017,ELA,10,43.5,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2017,ELA,5,29.4,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2017,Math,12,41.4,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2017,Math,9,39.1,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2017,Math,10,58.8,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2018,ELA,16,80.0,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2018,ELA,18,69.2,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2018,ELA,11,52.4,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2018,Math,19,95.0,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2018,Math,13,48.1,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2018,Math,7,35.0,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2019,ELA,19,70.4,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2019,ELA,14,77.8,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2019,ELA,9,36.0,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2019,Math,18,69.2,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2019,Math,15,83.3,0.0,1.0,0.0,0.0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2019,Math,13,50.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2017,ELA,14,50.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2017,ELA,16,50.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2017,ELA,15,55.6,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2017,Math,15,53.6,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2017,Math,18,62.1,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2017,Math,10,37.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2018,ELA,17,51.5,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2018,ELA,13,41.9,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2018,ELA,21,75.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2018,Math,18,56.3,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2018,Math,12,38.7,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2018,Math,22,84.6,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2019,ELA,16,66.7,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2019,ELA,16,50.0,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2019,ELA,14,53.8,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,3,2019,Math,16,66.7,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,4,2019,Math,11,34.4,0.0,1.0,0.0,0.0
01M019,P.S. 019 ASHER LEVY,5,2019,Math,11,45.8,0.0,1.0,0.0,0.0
01M020,P.S. 020 ANNA SILVER,3,2017,ELA,12,14.1,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2017,ELA,30,45.5,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2017,ELA,18,31.6,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,3,2017,Math,21,25.6,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2017,Math,24,34.8,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2017,Math,21,36.8,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,3,2018,ELA,27,35.1,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2018,ELA,35,48.6,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2018,ELA,21,35.0,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,3,2018,Math,19,24.4,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2018,Math,29,40.3,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2018,Math,27,43.5,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,3,2019,ELA,20,35.1,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2019,ELA,36,46.8,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2019,ELA,22,34.9,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,3,2019,Math,19,33.3,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,4,2019,Math,33,42.3,0.0,0.0,0.0,1.0
01M020,P.S. 020 ANNA SILVER,5,2019,Math,30,46.9,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2017,ELA,9,34.6,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2017,ELA,3,12.0,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2017,ELA,5,17.9,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2017,ELA,4,13.3,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2017,ELA,13,24.1,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2017,ELA,25,45.5,0.0,0.0,0.0,1.0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2017,Math,8,28.6,0.0,0.0,0.0,1.0
